Room_Width,Room_Height,Furniture_Placement
9,12,"Dining Table(3,6);Desk(0,11);Wardrobe(1,7);Bed(5,4);Bookshelf(3,10)"
10,11,"Desk(3,2);Bed(2,5);Bed(0,2);Wardrobe(3,3)"
14,9,"Bookshelf(7,1);Sofa(6,4);Bookshelf(8,6)"
12,11,"Bed(6,3);Table(3,5);Sofa(3,5)"
14,14,"Bookshelf(1,8);Wardrobe(7,3);Desk(3,7)"
10,14,"Table(2,11);Wardrobe(6,2);Desk(5,12)"
9,14,"Sofa(6,0);Chair(1,9);Sofa(5,7)"
9,13,"Desk(1,8);Wardrobe(5,3);Dining Table(2,10);Chair(4,0)"
14,12,"Desk(9,11);Dining Table(0,4);Dining Table(2,5)"
10,12,"Sofa(1,10);Sofa(2,9);Bookshelf(1,9);Table(6,8);Desk(6,7)"
12,13,"Chair(8,10);Bed(6,4);Bed(4,8);Bookshelf(2,9);Sofa(5,0)"
8,13,"Dining Table(4,0);Bed(1,3);Bed(1,2);Bed(2,11);Bed(4,11)"
11,13,"Bookshelf(6,5);Desk(5,11);Dining Table(7,0);Sofa(1,0);Table(5,1)"
12,9,"Dining Table(4,2);Sofa(7,4);Chair(9,0);Dining Table(1,0);Chair(8,2)"
13,12,"Dining Table(7,8);Desk(9,6);Sofa(2,4);Sofa(1,4);Bookshelf(8,4)"
13,12,"Dining Table(10,4);Wardrobe(11,8);Dining Table(1,7);Sofa(5,2);Bed(7,9)"
12,12,"Sofa(9,4);Dining Table(4,2);Bookshelf(3,6);Wardrobe(7,2)"
13,12,"Bed(6,2);Desk(5,6);Chair(6,2);Wardrobe(2,7)"
8,10,"Wardrobe(5,7);Desk(5,9);Table(0,1);Chair(4,4)"
12,14,"Sofa(3,8);Bookshelf(8,8);Wardrobe(5,3)"
12,8,"Dining Table(7,1);Chair(6,4);Chair(1,1);Bookshelf(8,4);Chair(1,6)"
10,14,"Wardrobe(7,7);Dining Table(5,9);Desk(0,2);Table(8,0)"
8,11,"Table(2,2);Dining Table(2,2);Bookshelf(0,1)"
8,12,"Bed(1,10);Dining Table(4,7);Sofa(3,4);Desk(5,6)"
14,12,"Table(7,5);Wardrobe(3,3);Chair(13,7)"
13,14,"Dining Table(0,6);Desk(5,4);Table(7,1)"
8,13,"Bookshelf(2,0);Sofa(3,7);Desk(4,11);Table(5,7);Dining Table(1,10)"
8,9,"Bed(3,0);Table(0,0);Sofa(0,7);Chair(1,2)"
11,12,"Desk(8,9);Bed(2,6);Bookshelf(2,9);Desk(4,3)"
10,12,"Table(5,4);Sofa(2,1);Desk(1,1);Dining Table(3,1);Bed(0,6)"
8,10,"Bookshelf(2,2);Chair(4,4);Bookshelf(2,3);Dining Table(0,1)"
8,12,"Bookshelf(6,1);Dining Table(2,4);Sofa(3,6);Bookshelf(0,4)"
11,13,"Sofa(5,10);Bed(5,3);Bookshelf(0,6);Sofa(3,2)"
9,13,"Chair(4,0);Dining Table(4,0);Table(1,7);Sofa(1,5);Desk(3,11)"
8,10,"Bed(2,1);Bed(3,8);Wardrobe(4,7);Sofa(4,1)"
10,12,"Chair(3,3);Table(2,6);Dining Table(1,8);Bed(3,6)"
9,9,"Chair(7,7);Chair(3,6);Table(3,7)"
8,14,"Chair(7,10);Wardrobe(5,6);Sofa(3,3);Table(4,12);Chair(7,3)"
9,12,"Dining Table(6,5);Chair(7,1);Table(5,3);Table(7,5)"
13,11,"Bookshelf(11,7);Wardrobe(1,5);Table(0,6);Chair(11,5)"
12,8,"Wardrobe(4,2);Desk(3,0);Bed(0,2)"
13,10,"Sofa(8,8);Wardrobe(10,6);Desk(7,9)"
13,11,"Bookshelf(11,5);Sofa(2,4);Desk(8,9)"
11,11,"Bookshelf(0,3);Wardrobe(2,4);Bed(3,6);Table(3,4);Desk(1,0)"
9,11,"Chair(7,7);Desk(2,7);Dining Table(2,2);Sofa(2,3);Wardrobe(3,3)"
13,12,"Desk(5,6);Desk(2,0);Wardrobe(4,8);Table(9,6);Table(5,4)"
13,12,"Sofa(8,9);Wardrobe(11,1);Desk(3,2)"
10,8,"Table(4,4);Sofa(3,1);Sofa(0,2);Bed(4,1);Bed(6,0)"
11,13,"Desk(5,10);Wardrobe(6,5);Bookshelf(9,0);Table(7,7)"
12,12,"Desk(8,9);Chair(0,1);Chair(4,10)"
9,12,"Table(5,3);Table(5,3);Wardrobe(1,8);Bed(1,1);Dining Table(6,7)"
13,12,"Sofa(4,0);Bed(9,8);Wardrobe(0,7);Sofa(8,9)"
8,14,"Dining Table(5,6);Bed(2,11);Chair(2,10)"
14,11,"Desk(10,2);Bed(1,9);Table(0,2);Wardrobe(9,3)"
9,8,"Sofa(6,6);Desk(3,6);Bookshelf(3,4);Sofa(5,1)"
8,10,"Bed(3,6);Chair(7,9);Sofa(2,1);Desk(3,9)"
8,9,"Wardrobe(5,6);Desk(2,8);Dining Table(4,3);Bed(1,7);Bed(0,5)"
12,9,"Dining Table(7,4);Chair(8,5);Sofa(3,7);Wardrobe(7,5)"
10,12,"Wardrobe(8,7);Table(6,8);Dining Table(7,5);Sofa(1,8)"
13,10,"Dining Table(7,1);Wardrobe(8,5);Sofa(2,3);Dining Table(9,0)"
9,12,"Chair(7,9);Bed(2,10);Table(6,8)"
9,12,"Bookshelf(2,7);Table(5,4);Dining Table(1,7);Bookshelf(1,1);Chair(7,4)"
13,13,"Dining Table(7,7);Bed(9,9);Desk(8,0);Bed(5,8)"
13,13,"Dining Table(2,6);Bookshelf(5,9);Bed(7,1)"
8,13,"Desk(3,3);Bed(4,6);Wardrobe(1,7);Dining Table(0,4);Bookshelf(5,7)"
13,14,"Chair(6,6);Wardrobe(9,0);Desk(9,1)"
11,12,"Sofa(4,5);Chair(0,2);Wardrobe(7,0)"
11,12,"Sofa(4,9);Wardrobe(3,0);Wardrobe(8,9);Bed(0,7)"
10,10,"Chair(1,2);Bed(6,4);Wardrobe(0,2);Dining Table(7,6);Desk(6,6)"
13,8,"Sofa(2,3);Bed(5,2);Dining Table(2,4)"
11,11,"Sofa(1,1);Sofa(6,2);Bed(5,5)"
9,14,"Dining Table(6,1);Desk(4,12);Sofa(2,5);Bed(2,10);Chair(7,4)"
